onset	duration	sample	value	event_code
0	n/a	0	resting_start	90
0.028	n/a	14	resting_start	90
158.144	n/a	79072	instructed_toOpenEyes	20
178.144	n/a	89072	instructed_toCloseEyes	30
218.144	n/a	109072	instructed_toOpenEyes	20
238.144	n/a	119072	instructed_toCloseEyes	30
278.144	n/a	139072	instructed_toOpenEyes	20
298.144	n/a	149072	instructed_toCloseEyes	30
338.144	n/a	169072	instructed_toOpenEyes	20
358.144	n/a	179072	instructed_toCloseEyes	30
398.144	n/a	199072	instructed_toOpenEyes	20
418.144	n/a	209072	instructed_toCloseEyes	30
458.144	n/a	229072	instructed_toOpenEyes	20
462.687	n/a	231343.5	boundary	boundary
