onset	duration	sample	value	event_code	feedback
0	n/a	0	IEND	IEND	n/a
35.868	n/a	17934	contrastChangeB2_start	95	n/a
41.616	n/a	20808	contrastTrial_start	5	n/a
44.42	n/a	22210	left_target	8	n/a
45.928	n/a	22964	left_buttonPress	12	smiley_face
46.82	n/a	23410	contrastTrial_start	5	n/a
52.82	n/a	26410	right_target	9	n/a
54.9	n/a	27450	right_buttonPress	13	smiley_face
55.22	n/a	27610	contrastTrial_start	5	n/a
61.216	n/a	30608	left_target	8	n/a
62.88	n/a	31440	left_buttonPress	12	smiley_face
63.616	n/a	31808	contrastTrial_start	5	n/a
69.616	n/a	34808	right_target	9	n/a
71.176	n/a	35588	right_buttonPress	13	smiley_face
72.016	n/a	36008	contrastTrial_start	5	n/a
76.416	n/a	38208	left_target	8	n/a
77.756	n/a	38878	left_buttonPress	12	smiley_face
78.816	n/a	39408	contrastTrial_start	5	n/a
84.816	n/a	42408	left_target	8	n/a
86.236	n/a	43118	left_buttonPress	12	smiley_face
87.216	n/a	43608	contrastTrial_start	5	n/a
90.016	n/a	45008	right_target	9	n/a
91.688	n/a	45844	right_buttonPress	13	smiley_face
92.416	n/a	46208	contrastTrial_start	5	n/a
96.816	n/a	48408	right_target	9	n/a
98.628	n/a	49314	right_buttonPress	13	smiley_face
99.216	n/a	49608	contrastTrial_start	5	n/a
102.016	n/a	51008	right_target	9	n/a
104.068	n/a	52034	right_buttonPress	13	smiley_face
104.416	n/a	52208	contrastTrial_start	5	n/a
108.816	n/a	54408	left_target	8	n/a
110.396	n/a	55198	left_buttonPress	12	smiley_face
111.216	n/a	55608	contrastTrial_start	5	n/a
117.216	n/a	58608	left_target	8	n/a
118.936	n/a	59468	left_buttonPress	12	smiley_face
119.616	n/a	59808	contrastTrial_start	5	n/a
124.016	n/a	62008	right_target	9	n/a
126.108	n/a	63054	right_buttonPress	13	smiley_face
126.416	n/a	63208	contrastTrial_start	5	n/a
132.416	n/a	66208	right_target	9	n/a
133.956	n/a	66978	right_buttonPress	13	smiley_face
134.816	n/a	67408	contrastTrial_start	5	n/a
139.216	n/a	69608	right_target	9	n/a
141.188	n/a	70594	right_buttonPress	13	smiley_face
141.616	n/a	70808	contrastTrial_start	5	n/a
144.416	n/a	72208	right_target	9	n/a
146.816	n/a	73408	contrastTrial_start	5	n/a
149.616	n/a	74808	right_target	9	n/a
151.108	n/a	75554	right_buttonPress	13	smiley_face
152.016	n/a	76008	contrastTrial_start	5	n/a
154.816	n/a	77408	left_target	8	n/a
156.608	n/a	78304	left_buttonPress	12	smiley_face
157.216	n/a	78608	contrastTrial_start	5	n/a
160.016	n/a	80008	left_target	8	n/a
161.388	n/a	80694	left_buttonPress	12	smiley_face
162.416	n/a	81208	contrastTrial_start	5	n/a
166.816	n/a	83408	left_target	8	n/a
168.556	n/a	84278	left_buttonPress	12	smiley_face
169.216	n/a	84608	contrastTrial_start	5	n/a
172.016	n/a	86008	left_target	8	n/a
173.728	n/a	86864	left_buttonPress	12	smiley_face
174.416	n/a	87208	contrastTrial_start	5	n/a
178.816	n/a	89408	left_target	8	n/a
180.576	n/a	90288	left_buttonPress	12	smiley_face
181.216	n/a	90608	contrastTrial_start	5	n/a
185.616	n/a	92808	right_target	9	n/a
187.764	n/a	93882	right_buttonPress	13	smiley_face
188.016	n/a	94008	contrastTrial_start	5	n/a
194.016	n/a	97008	right_target	9	n/a
195.704	n/a	97852	right_buttonPress	13	smiley_face
196.416	n/a	98208	contrastTrial_start	5	n/a
202.416	n/a	101208	left_target	8	n/a
204.256	n/a	102128	left_buttonPress	12	smiley_face
204.816	n/a	102408	contrastTrial_start	5	n/a
