onset	duration	sample	value	event_code
0	n/a	0	9999	9999
1.216	n/a	608	video_start	82
164.21	n/a	82105	video_stop	102
164.766	n/a	82383	break cnt	break cnt
293.252	n/a	146626	surroundSuppB2_start	97
294.786	n/a	147393	fixpoint_ON	4
295.304	n/a	147652	stim_ON	8
298.22	n/a	149110	fixpoint_ON	4
298.73	n/a	149365	stim_ON	8
301.64	n/a	150820	fixpoint_ON	4
302.15	n/a	151075	stim_ON	8
305.06	n/a	152530	fixpoint_ON	4
305.57	n/a	152785	stim_ON	8
308.48	n/a	154240	fixpoint_ON	4
308.99	n/a	154495	stim_ON	8
311.9	n/a	155950	fixpoint_ON	4
312.41	n/a	156205	stim_ON	8
315.32	n/a	157660	fixpoint_ON	4
315.83	n/a	157915	stim_ON	8
318.74	n/a	159370	fixpoint_ON	4
319.25	n/a	159625	stim_ON	8
322.162	n/a	161081	fixpoint_ON	4
322.672	n/a	161336	stim_ON	8
325.582	n/a	162791	fixpoint_ON	4
326.092	n/a	163046	stim_ON	8
329.002	n/a	164501	fixpoint_ON	4
329.512	n/a	164756	stim_ON	8
332.422	n/a	166211	fixpoint_ON	4
332.932	n/a	166466	stim_ON	8
335.842	n/a	167921	fixpoint_ON	4
336.352	n/a	168176	stim_ON	8
339.262	n/a	169631	fixpoint_ON	4
339.772	n/a	169886	stim_ON	8
342.682	n/a	171341	fixpoint_ON	4
343.192	n/a	171596	stim_ON	8
346.102	n/a	173051	fixpoint_ON	4
346.612	n/a	173306	stim_ON	8
349.522	n/a	174761	fixpoint_ON	4
350.032	n/a	175016	stim_ON	8
352.942	n/a	176471	fixpoint_ON	4
353.452	n/a	176726	stim_ON	8
356.362	n/a	178181	fixpoint_ON	4
356.872	n/a	178436	stim_ON	8
359.782	n/a	179891	fixpoint_ON	4
360.292	n/a	180146	stim_ON	8
363.212	n/a	181606	fixpoint_ON	4
363.722	n/a	181861	stim_ON	8
366.632	n/a	183316	fixpoint_ON	4
367.142	n/a	183571	stim_ON	8
370.052	n/a	185026	fixpoint_ON	4
370.562	n/a	185281	stim_ON	8
373.472	n/a	186736	fixpoint_ON	4
373.982	n/a	186991	stim_ON	8
376.892	n/a	188446	fixpoint_ON	4
377.402	n/a	188701	stim_ON	8
380.312	n/a	190156	fixpoint_ON	4
380.824	n/a	190412	stim_ON	8
383.734	n/a	191867	fixpoint_ON	4
384.244	n/a	192122	stim_ON	8
387.154	n/a	193577	fixpoint_ON	4
387.664	n/a	193832	stim_ON	8
390.574	n/a	195287	fixpoint_ON	4
391.084	n/a	195542	stim_ON	8
393.994	n/a	196997	fixpoint_ON	4
394.504	n/a	197252	stim_ON	8
397.414	n/a	198707	fixpoint_ON	4
397.924	n/a	198962	stim_ON	8
400.834	n/a	200417	fixpoint_ON	4
401.344	n/a	200672	stim_ON	8
404.254	n/a	202127	fixpoint_ON	4
404.764	n/a	202382	stim_ON	8
407.674	n/a	203837	fixpoint_ON	4
408.184	n/a	204092	stim_ON	8
411.094	n/a	205547	fixpoint_ON	4
411.604	n/a	205802	stim_ON	8
414.514	n/a	207257	fixpoint_ON	4
415.024	n/a	207512	stim_ON	8
417.934	n/a	208967	fixpoint_ON	4
418.444	n/a	209222	stim_ON	8
421.354	n/a	210677	fixpoint_ON	4
421.864	n/a	210932	stim_ON	8
424.774	n/a	212387	fixpoint_ON	4
425.284	n/a	212642	stim_ON	8
428.194	n/a	214097	fixpoint_ON	4
428.704	n/a	214352	stim_ON	8
431.614	n/a	215807	fixpoint_ON	4
432.124	n/a	216062	stim_ON	8
435.034	n/a	217517	fixpoint_ON	4
435.544	n/a	217772	stim_ON	8
438.454	n/a	219227	fixpoint_ON	4
438.964	n/a	219482	stim_ON	8
441.876	n/a	220938	fixpoint_ON	4
442.384	n/a	221192	stim_ON	8
445.296	n/a	222648	fixpoint_ON	4
445.806	n/a	222903	stim_ON	8
448.716	n/a	224358	fixpoint_ON	4
449.226	n/a	224613	stim_ON	8
452.136	n/a	226068	fixpoint_ON	4
452.646	n/a	226323	stim_ON	8
455.556	n/a	227778	fixpoint_ON	4
456.066	n/a	228033	stim_ON	8
458.976	n/a	229488	fixpoint_ON	4
459.486	n/a	229743	stim_ON	8
462.396	n/a	231198	fixpoint_ON	4
462.906	n/a	231453	stim_ON	8
465.816	n/a	232908	fixpoint_ON	4
466.326	n/a	233163	stim_ON	8
469.236	n/a	234618	fixpoint_ON	4
469.746	n/a	234873	stim_ON	8
472.656	n/a	236328	fixpoint_ON	4
473.166	n/a	236583	stim_ON	8
476.076	n/a	238038	fixpoint_ON	4
476.586	n/a	238293	stim_ON	8
479.496	n/a	239748	fixpoint_ON	4
480.006	n/a	240003	stim_ON	8
482.916	n/a	241458	fixpoint_ON	4
483.426	n/a	241713	stim_ON	8
486.336	n/a	243168	fixpoint_ON	4
486.846	n/a	243423	stim_ON	8
489.756	n/a	244878	fixpoint_ON	4
490.266	n/a	245133	stim_ON	8
493.176	n/a	246588	fixpoint_ON	4
493.686	n/a	246843	stim_ON	8
496.598	n/a	248299	fixpoint_ON	4
497.106	n/a	248553	stim_ON	8
500.018	n/a	250009	fixpoint_ON	4
500.526	n/a	250263	stim_ON	8
503.438	n/a	251719	fixpoint_ON	4
503.948	n/a	251974	stim_ON	8
506.858	n/a	253429	fixpoint_ON	4
507.368	n/a	253684	stim_ON	8
510.278	n/a	255139	fixpoint_ON	4
510.788	n/a	255394	stim_ON	8
516.704	n/a	258352	break cnt	break cnt
516.705	n/a	258352.5	boundary	boundary
