onset	duration	sample	value	event_code
0	n/a	0	resting_start	90
0.024	n/a	12	resting_start	90
49.244	n/a	24622	instructed_toOpenEyes	20
69.244	n/a	34622	instructed_toCloseEyes	30
109.244	n/a	54622	instructed_toOpenEyes	20
129.244	n/a	64622	instructed_toCloseEyes	30
169.244	n/a	84622	instructed_toOpenEyes	20
189.244	n/a	94622	instructed_toCloseEyes	30
229.244	n/a	114622	instructed_toOpenEyes	20
249.244	n/a	124622	instructed_toCloseEyes	30
289.244	n/a	144622	instructed_toOpenEyes	20
309.244	n/a	154622	instructed_toCloseEyes	30
349.244	n/a	174622	instructed_toOpenEyes	20
353.803	n/a	176901.5	boundary	boundary
