onset	duration	sample	value	event_code
0	n/a	0	9999	9999
2.98	n/a	1490	video_start	83
173.534	n/a	86767	video_stop	103
174.22	n/a	87110	break cnt	break cnt
204.452	n/a	102226	9999	9999
